FIPS,state,county,monthly_housing,annual_transportation ,total_cost,life_expectancy,male_life_expectancy,female_life_expectancy,,,
2164,AK,Lake and Peninsula,613,9257,16613,70.83,69.61,72.18,,,
28055,MS,Issaquena,428,11563,16699,75.74,74.31,77.17,,,
22035,LA,East Carroll,623,10020,17496,72.17,71.27,73.13,,,
46103,SD,Pennington,504,12168,18216,66.81,65.89,67.75,,,
54047,WV,McDowell,567,11430,18234,77.18,76.74,77.64,,,
13309,GA,Wheeler,615,10997,18377,76.49,75.55,77.36,,,
48283,TX,La Salle,439,13220,18488,77.29,76.67,77.92,,,
51720,VA,Norton,634,10907,18515,76.82,76.37,77.27,,,
21131,KY,Leslie,533,12150,18546,71.17,70.27,72.05,,,
28063,MS,Jefferson,619,11182,18610,73.35,72.44,74.33,,,
21237,KY,Wolfe,643,10969,18685,71.15,70.25,72.07,,,
21147,KY,McCreary,656,10897,18769,72.6,71.81,73.39,,,
22065,LA,Madison,660,10867,18787,71.57,70.72,72.37,,,
21013,KY,Bell,675,10956,19056,72.72,72.11,73.33,,,
46121,SD,Todd,551,12446,19058,68.51,67.5,69.48,,,
45005,SC,Allendale,629,11518,19066,72.88,71.95,73.79,,,
22029,LA,Concordia,657,11218,19102,73.94,73.22,74.63,,,
48507,TX,Zavala,568,12288,19104,77.86,77.06,78.6,,,
28027,MS,Coahoma,689,11039,19307,71.14,70.43,71.79,,,
13259,GA,Stewart,654,11501,19349,74.36,73.37,75.4,,,
5077,AR,Lee,661,11496,19428,73.71,72.93,74.58,,,
21109,KY,Jackson,575,12556,19456,73.31,72.51,74.03,,,
13271,GA,Telfair,696,11160,19512,76.02,75.3,76.72,,,
28053,MS,Humphreys,679,11411,19559,71.9,70.95,72.88,,,
51640,VA,Galax,725,10909,19609,79.28,78.76,79.83,,,
5107,AR,Phillips,698,11256,19632,71.28,70.57,71.96,,,
51595,VA,Emporia,800,10103,19703,79.6,78.8,80.31,,,
47067,TN,Hancock,605,12446,19706,73.35,72.45,74.21,,,
5041,AR,Desha,665,11729,19709,73.83,73.06,74.62,,,
28083,MS,Leflore,735,10915,19735,72.73,72.11,73.33,,,
1063,AL,Greene,663,11792,19748,74.05,73.2,74.95,,,
47095,TN,Lake,733,11024,19820,72.81,71.86,73.73,,,
21051,KY,Clay,685,11638,19858,71.78,71.1,72.43,,,
13165,GA,Jenkins,642,12194,19898,74,73.13,74.94,,,
5123,AR,St. Francis,699,11513,19901,73.57,72.93,74.24,,,
28119,MS,Quitman,698,11529,19905,71.48,70.45,72.5,,,
5067,AR,Jackson,680,11790,19950,73.76,73.08,74.47,,,
1105,AL,Perry,661,12073,20005,72.31,71.36,73.19,,,
21095,KY,Harlan,699,11632,20020,71.45,70.83,72.07,,,
35051,NM,Sierra,761,10997,20129,74.9,74.12,75.65,,,
28135,MS,Tallahatchie,714,11579,20147,74.02,73.21,74.86,,,
29133,MO,Mississippi,716,11568,20160,73.66,72.96,74.37,,,
28001,MS,Adams,727,11451,20175,74.09,73.51,74.74,,,
5147,AR,Woodruff,657,12305,20189,73.26,72.33,74.16,,,
21129,KY,Lee,735,11373,20193,71.61,70.64,72.55,,,
48377,TX,Presidio,690,11936,20216,83.72,82.86,84.54,,,
51580,VA,Covington,737,11413,20257,75.56,75.02,76.1,,,
28133,MS,Sunflower,748,11361,20337,71.61,70.96,72.25,,,
21133,KY,Letcher,684,12131,20339,72.35,71.73,73.03,,,
5095,AR,Monroe,694,12051,20379,73.72,72.85,74.61,,,
13283,GA,Treutlen,630,12821,20381,75.09,74.15,76.06,,,
22081,LA,Red River,605,13128,20388,73.99,73.1,74.9,,,
54089,WV,Summers,659,12480,20388,76.14,75.49,76.82,,,
1093,AL,Marion,669,12373,20401,74.54,73.93,75.11,,,
21071,KY,Floyd,724,11714,20402,71.97,71.39,72.58,,,
28051,MS,Holmes,753,11370,20406,71.01,70.23,71.8,,,
51520,VA,Bristol,754,11373,20421,74.78,74.29,75.23,,,
54101,WV,Webster,674,12336,20424,75.36,74.6,76.13,,,
51690,VA,Martinsville,787,10991,20435,79.17,78.79,79.55,,,
21231,KY,Wayne,672,12390,20454,75.52,74.89,76.14,,,
51590,VA,Danville,789,10996,20464,77.85,77.1,78.6,,,
35037,NM,Quay,768,11261,20477,76.02,75.25,76.78,,,
29069,MO,Dunklin,723,11823,20499,72.62,72.05,73.17,,,
1075,AL,Lamar,659,12632,20540,74.83,74.13,75.53,,,
1047,AL,Dallas,788,11092,20548,72.39,71.83,72.95,,,
