FIPS,state,county,monthly_housing,annual_transportation ,annual_housing_transportation,total_cost,life_expectancy,male_life_expectancy,female_life_expectancy
1001,AL,Autauga,1059,13514,26222,40795,75.67,75.15,76.18
1003,AL,Baldwin,1191,13644,27936,42771,78.08,77.72,78.43
1005,AL,Barbour,810,12087,21807,34704,75.42,74.78,76.07
1007,AL,Bibb,969,14241,25869,41079,73.97,73.28,74.68
1009,AL,Blount,963,14206,25762,40931,76.16,75.66,76.69
1011,AL,Bullock,846,13278,23430,37554,73.86,72.92,74.69
1013,AL,Butler,850,12593,22793,36236,73.39,72.68,74.13
1015,AL,Calhoun,911,12826,23758,37495,74.02,73.58,74.43
1017,AL,Chambers,822,12435,22299,35556,74.06,73.48,74.61
1019,AL,Cherokee,979,12598,24346,37923,75.08,74.45,75.72
1021,AL,Chilton,947,14155,25519,40621,74.53,74.02,75.08
1023,AL,Choctaw,871,13074,23526,37471,75.29,74.52,76.03
1025,AL,Clarke,785,12427,21847,35059,75.46,74.78,76.08
1027,AL,Clay,914,12861,23829,37604,75.06,74.32,75.79
1029,AL,Cleburne,908,13343,24239,38490,74.3,73.62,75.04
1031,AL,Coffee,1036,13769,26201,41006,76.48,75.94,76.98
1033,AL,Colbert,885,12803,23423,37111,75.07,74.57,75.58
1035,AL,Conecuh,754,12248,21296,34298,74.05,73.25,74.88
1037,AL,Coosa,852,13070,23294,37216,75.19,74.36,75.99
1039,AL,Covington,884,12861,23469,37214,75.15,74.59,75.71
1041,AL,Crenshaw,788,13173,22629,36590,74.07,73.33,74.82
1043,AL,Cullman,918,12859,23875,37652,75.31,74.86,75.78
1045,AL,Dale,867,13166,23570,37603,76.26,75.79,76.79
1047,AL,Dallas,788,11092,20548,32428,72.39,71.83,72.95
1049,AL,DeKalb,839,13240,23308,37387,75.25,74.77,75.75
1051,AL,Elmore,1095,13752,26892,41739,75.93,75.45,76.41
1053,AL,Escambia,840,12174,22254,35268,74.15,73.59,74.75
1055,AL,Etowah,945,12300,23640,36885,73.85,73.44,74.29
1057,AL,Fayette,829,12694,22642,36165,73.98,73.28,74.71
1059,AL,Franklin,802,12662,22286,35750,73.31,72.65,73.88
1061,AL,Geneva,836,13661,23693,38190,75.54,74.94,76.15
1063,AL,Greene,663,11792,19748,32203,74.05,73.20,74.95
1065,AL,Hale,868,14368,24784,40020,74.01,73.27,74.72
1067,AL,Henry,944,14233,25561,40738,75.97,75.29,76.67
1069,AL,Houston,928,12649,23785,37362,76.81,76.37,77.26
1071,AL,Jackson,838,12864,22920,36622,74.13,73.61,74.63
1073,AL,Jefferson,1142,12140,25844,39126,75.34,75.11,75.59
1075,AL,Lamar,659,12632,20540,33831,74.83,74.13,75.53
1077,AL,Lauderdale,916,12880,23872,37668,76.5,76.06,76.92
1079,AL,Lawrence,861,14165,24497,39523,74.33,73.75,74.92
1081,AL,Lee,1055,12930,25590,39575,76.52,76.10,76.96
1083,AL,Limestone,1025,14434,26734,42193,77.21,76.73,77.65
1085,AL,Lowndes,871,14294,24746,39911,72.57,71.72,73.37
1087,AL,Macon,831,11774,21746,34351,72.81,72.08,73.54
1089,AL,Madison,1126,13099,26611,40836,78.07,77.76,78.35
1091,AL,Marengo,882,12208,22792,35882,74.68,73.98,75.39
1093,AL,Marion,669,12373,20401,33443,74.54,73.93,75.11
1095,AL,Marshall,911,12946,23878,37735,74.53,74.07,74.96
1097,AL,Mobile,1053,12436,25072,38561,75.13,74.81,75.43
1099,AL,Monroe,764,12118,21286,34168,74.97,74.33,75.64
1101,AL,Montgomery,1033,12046,24442,37521,75.83,75.48,76.20
1103,AL,Morgan,946,13003,24355,38304,76.21,75.77,76.62
1105,AL,Perry,661,12073,20005,32739,72.31,71.36,73.19
1107,AL,Pickens,817,14497,24301,39615,74.55,73.86,75.21
1109,AL,Pike,831,12026,21998,34855,74.9,74.26,75.50
1111,AL,Randolph,834,12828,22836,36498,74.65,74.02,75.30
1113,AL,Russell,940,12755,24035,37730,74.43,73.87,74.96
1115,AL,St. Clair,1070,13904,26744,41718,74.98,74.51,75.44
1117,AL,Shelby,1384,13360,29968,44712,79.53,79.20,79.87
